genre|artist name|song name|danceability|energy|speechiness|tempo
rap|Lupe Fiasco|Superstar|0.572|0.822|0.361|94.812
rap|Kanye West|Power|0.538|0.912|0.129|154.042
rap|Black Eyed Peas|Where Is the Love|0.835|0.706|0.193|94.086
rap|House of Pain|Jump Around|0.854|0.71|0.0793|106.894
rap|Eminem|My Name Is|0.863|0.677|0.325|85.527
rap|Black Eyed Peas|My Humps|0.8|0.688|0.223|123.929
rap|Eminem|Stan|0.778|0.769|0.248|80.044
rap|Drake|Over|0.337|0.853|0.278|101.034
rap|Macklemore & Ryan Lewis|Can't Hold Us (feat. Ray Dalton)|0.641|0.922|0.0786|146.078
rap|Birdman|Pop Bottles (Main)|0.476|0.823|0.442|149.902
rap|Lil' Wayne|A Milli|0.679|0.684|0.278|151.748
rap|Macklemore & Ryan Lewis|Thrift Shop (feat. Wanz)|0.781|0.526|0.293|94.992
rap|T.I.|What You Know|0.551|0.81|0.0344|73.464
rap|Beastie Boys|Intergalactic|0.734|0.864|0.303|105.933
rap|Black Eyed Peas|Meet Me Halfway|0.785|0.604|0.0834|130.03
country|Johnny Cash|Hurt|0.545|0.376|0.0288|91.469
country|Johnny Cash|I Walk the Line|0.713|0.258|0.0384|98.805
country|Johnny Cash|Ring of Fire|0.659|0.585|0.0288|104.111
country|Mumford & Sons|I Will Wait|0.488|0.752|0.0323|131.221
country|Avicii|Wake Me Up|0.518|0.784|0.0524|124.102
country|Taylor Swift|Love Story|0.615|0.721|0.0302|119.007
country|Lily Allen|Not Fair|0.718|0.806|0.0376|121.488
country|Amy Macdonald|This Is the Life|0.513|0.873|0.0461|190.135
country|Johnny Cash|Folsom Prison Blues|0.594|0.577|0.0534|110.783
country|Lady Antebellum|Need You Now|0.587|0.622|0.0303|107.943
country|Taylor Swift|You Belong with Me|0.691|0.768|0.0387|129.996
country|Bob Dylan|Lay Lady Lay|0.52|0.179|0.0454|155.746
country|Creedence Clearwater Revival|Lookin' Out My Back Door|0.746|0.649|0.0407|105.302
country|Eagles|Take It Easy|0.575|0.67|0.0318|139.191
country|Dolly Parton|Jolene|0.674|0.537|0.0363|110.578
country|Miley Cyrus|The Climb|0.326|0.625|0.0343|160.542
country|Taylor Swift|We Are Never Ever Getting Back Together|0.622|0.682|0.113|86.035
country|Avicii|Hey Brother|0.537|0.777|0.0473|124.943
country|Johnny Cash|Personal Jesus|0.746|0.583|0.0431|123.335
country|Wilco|Jesus, Etc.|0.756|0.28|0.0296|109.413
country|Johnny Cash|The Man Comes Around|0.62|0.584|0.155|97.099
country|Eagles|Desperado|0.228|0.224|0.0311|60.3
country|The Beatles|Don't Pass Me By|0.599|0.537|0.0254|84.895
country|The Band Perry|If I Die Young|0.594|0.502|0.0281|130.674
country|Kid Rock|All Summer Long|0.7|0.864|0.0283|102.997
country|Barry Louis Polisar|All I Want Is You|0.557|0.407|0.0457|180.919
country|Carrie Underwood|Before He Cheats|0.519|0.749|0.0405|147.905
country|Neil Young|Harvest Moon|0.648|0.309|0.0264|112.929
country|Willie Nelson|On The Road Again|0.714|0.715|0.0387|111.036
country|The Beatles|What Goes On|0.67|0.776|0.0749|96.93
country|Johnny Cash|Give My Love to Rose|0.686|0.264|0.0368|130.947
country|Johnny Cash|Get Rhythm|0.866|0.599|0.0426|110.289
country|Sheryl Crow|All I Wanna Do|0.836|0.533|0.0332|120.08
country|John Denver|Take Me Home, Country Roads|0.255|0.43|0.0322|164.267
country|Wilco|I Am Trying to Break Your Heart|0.467|0.536|0.0268|85.958
country|The Beatles|Rocky Raccoon|0.599|0.363|0.0315|79.456
country|Lady Gaga|Yoü and I|0.5|0.716|0.0558|127.066
country|Avenged Sevenfold|Dear God|0.472|0.772|0.0316|139.993
country|The Tallest Man on Earth|I Won't Be Found|0.591|0.492|0.0288|114.563
country|Kings of Leon|Back Down South|0.476|0.619|0.0398|117.113
country|Johnny Cash|God's Gonna Cut You Down|0.611|0.479|0.117|82.366
country|Dolly Parton|9 to 5|0.554|0.783|0.0457|105.39
country|Shania Twain|You're Still the One|0.551|0.527|0.0302|133.758
country|Taylor Swift|White Horse|0.583|0.354|0.0254|92.526
country|Eagles|Tequila Sunrise|0.632|0.397|0.0265|110.578
country|Johnny Cash|Man in Black|0.676|0.58|0.0506|95.358
country|Rascal Flatts|What Hurts the Most|0.527|0.671|0.0283|136.03
country|Dierks Bentley|What Was I Thinkin'|0.551|0.825|0.044|164.857
country|Charlie Daniels Band|The Devil Went Down to Georgia|0.517|0.535|0.0494|135.087
country|The Beatles|Act Naturally|0.702|0.447|0.0308|93.02
